0-9%,10-19%,20-29%,30-39%,40-49%,50-59%,60-69%,70-79%,80+%,Heart disease_prevalence
12.79326248,11.67034289,12.89352316,10.96851815,10.8582314,14.62803289,13.14417485,8.682574694,4.361339483,11.0
9.187049189,13.59618201,18.63983947,9.062313574,9.65887521,12.77184229,13.78057378,8.758609469,4.544715006,9.3
11.75327882,12.80206483,13.90350841,13.19495033,12.12679288,14.86280384,11.1538556,6.58929005,3.613455237,7.1
12.39903493,12.48295395,12.23119689,10.88324767,11.85356131,13.48473723,12.98122312,8.617434176,5.066610721,10.2
10.85912038,12.03507711,11.34294258,10.99687531,12.45842153,14.36347142,12.88176595,9.767160568,5.295165138,10.6
13.7364867,13.44827227,12.23610692,11.8771395,12.22570207,13.12884329,11.60245138,7.933700278,3.811297589,9.7
12.90781787,12.94503779,13.86997682,12.82008522,11.74650822,13.01899424,11.89442112,7.174500975,3.622657744,8.8
10.90805525,13.17700669,11.83842028,10.16281388,11.8953814,14.33046945,13.71339061,8.985617316,4.988845113,11.1
13.17044866,12.98751345,14.74643764,13.42248287,11.95280006,12.42719135,11.34729783,6.352236638,3.59359151,8.1
12.20179865,12.82906062,12.06576594,12.00698637,12.5998203,14.23809084,12.19760011,7.873103309,3.98777385,8.7
11.29102845,15.87527352,14.72647702,9.814004376,10.50328228,11.44420131,12.37417943,8.796498906,5.175054705,11.7
10.56776006,11.34015448,13.05045641,12.65924366,11.89186478,14.66044739,12.87992778,8.380981041,4.56916441,10.1
10.73849661,13.96004559,24.3985842,10.00659908,9.832623433,10.56152139,10.0485932,6.836042954,3.617493551,7.6
11.57315732,12.60286029,11.68316832,10.19581958,11.7579758,14.4290429,13.75577558,9.280528053,4.721672167,10.1
13.8263443,12.57160658,14.30054862,13.5027085,12.17009051,13.2050328,10.95861962,6.327339437,3.137709628,8.2
12.27308603,12.39824106,11.76457323,13.13789604,13.35889052,13.9406923,12.07576953,7.680685534,3.370165746,8.3
12.13173425,13.73019883,11.77801369,13.05706352,14.21047996,13.58648537,11.49661346,6.767049748,3.242361166,6.6
10.58230242,13.54503191,20.98337404,8.226302104,9.424001261,12.13458356,13.15893153,6.93404775,5.01142542,9.3
11.00741594,12.54948138,12.86140201,12.0233502,12.68978303,13.78463697,13.05932755,8.226436839,3.798166057,9.8
